id,target_name_ar,sentence,subject,relation,object,evidence,split
1,نبيل نوري فضل عبدالله الفضل,نبيل نوري فضل عبدالله الفضل الرييسيه ال,,,,,
2,نبيل نوري فضل عبدالله الفضل,عضو منتخب الاصوات و المواقف المجلس 2013 منع المسييين 2016 ليس,,,,,
3,نبيل نوري فضل عبدالله الفضل,عضوا قانون البصمه الوراثيه 2015 قانون جرايم تقنيه المعلومات 2015 قانون الشراكه بين القطا,,,,,
4,نبيل نوري فضل عبدالله الفضل,عين العام و الخاص 2014 غير موجود (معتذر) تعديل قانون المحكمه الدستوريه 2014 شطب استجواب المبارك 2014 غير موجود (معتذر) تحويل جلسه الشريط الا سريه 2014 غير موجود (معتذر) المجلس ديسمبر 2012 احاله استجواب احمد الحمود الا التشريعيه 2013 المداوله الاولا لاسقاط الفوايد 2013 قانون مكافحه الارهاب وغسل الاموال 2013 تاجيل استجواب هاني حسين 2013 تاجيل استجواب الشمالي 2013 تاجيل استجواب الاذينه 2013 تاجيل استجواب احمد الحمود 2013 الكتله البرلمانيه 2013,,,,,
5,محمود ابوالعز,معنا محمود عبد الباسط الغرابلي الشهير ب (محمود ابوالعز),,,,,
6,جابر سعد خنيفر عايد المحيلبي العازمي,الموسوعه الحره معلومات شخصيه تاريخ الميلاد 28 يونيو 1970 (العمر 55 سنه) مواطنه الكويت مناصب الحياه العمليه المهنه سياسي تعديل مصدري,,,,,
7,جابر سعد خنيفر عايد المحيلبي العازمي,تعديل جابر سعد خنيفر عايد المحيلبي العازمي ( 28 يونيو 1970,,,,,
8,جابر سعد خنيفر عايد المحيلبي العازمي,) نايب سابق في مجلس الامه الكويتي شارك في انتخابات مجلس الامه الكويتي 2006 في الدايره الثالثه والعشرين,,,,,
9,جابر سعد خنيفر عايد المحيلبي العازمي,وحصل علا المركز الاول برصيد 4728 صوت وفاز بالانتخابات 1,,,,,
10,جابر سعد خنيفر عايد المحيلبي العازمي,وشارك في انتخابات مجلس الامه الكويتي 2008 في الدايره الخامسه,,,,,
11,جابر سعد خنيفر عايد المحيلبي العازمي,وحصل علا المركز الاول برصيد 15118 صوت وفاز بالانتخابات,,,,,
12,مبارك حمود سعدون الطشه,الموسوعه الحره نايب في مجلس الامه الكويتي الامير نواف الاحمد الجابر الصباح الدايره الانتخابيه معلومات شخصيه اسم الولاده مبارك حمود سعدون الطشه تاريخ الميلاد 1980 (العمر 45-46) الجنسيه الكويت الديانه الاسلام الحياه العمليه المدرسه الام جامعه الكويت,,,,,
13,مبارك حمود سعدون الطشه,دكتوراه في القانون المهنه سياسي الحزب التجمع السلفي تعديل مصدري,,,,,
14,مبارك حمود سعدون الطشه,تعديل مبارك حمود سعدون الطشه الرشيدي ( 1980 -),,,,,
15,مبارك حمود سعدون الطشه,نايب في مجلس الامه الكويتي 1 السيره البرلمانيه شارك النايب د,,,,,
16,خالد رفاعي محمد الشليمي,الخدمات الالكترونيه الخاصه بالانتخابات النتايج التفصيليه لانتخابات مجلس الامه 01/12/2012,,,,,
17,خالد رفاعي محمد الشليمي,عين 15970 16485 32455 عدد الاصوات الباطله 579 943 1522 عدد الاصوات الصحيحه 15391 15542 30933 عدد الناخبين 48525 59870 108395 النسبه الميويه للتصويت 32,,,,,
18,حسين الحداد,تمثيل الرييسيه حسين الحداد فيلموجرافيا English فيلموجرافيا: حسين الحداد,,,,,
19,حسين الحداد,تمثيل تمثيل اخراج ادوار متعدده دعايه تمثيل (80) 30 ليله وليله ابواب الخير متاهه 2026,,,,,
20,حسين الحداد,مسلسل افكار امي ماهر القصص العجيبه ايه وقصه بيت حموله عبدالرزاق فضه ثامر كل شيء نصيب محيط الارض 2025,,,,,
21,حسين الحداد,مسرحيه هوس احفادي الاعزاء جدي العزيز اخ 2024,,,,,
22,حسين الحداد,مسرحيه باقون هنا مشاري قلم رصاص 2024,,,,,
23,حسين الحداد,مسرحيه مارلي (عروض عيد الفطر) الحيه الذهبيه وطاير البريه القصه 6 الكاتب بلاغ نهايي عبدالمحسن المنتعز حب بين السطور اياد دار العز سدره اللولو 2023,,,,,
24,حسين الحداد,مسرحيه لويس بيلي صالح في قلب الفلك في كل بيت سالفه قره عينك نوح هب السعد وصيه وطن القصه 2 القصه 3 الليالي العربيه بيت العمر حب في الراديو 2022,,,,,
25,حسين الحداد,ضيف شرف حكايات البستاني سوالف صيف شيابني هني 2022,,,,,
26,حسين الحداد,فيلم جد سالم عايله عبدالحميد حافظ 2022,,,,,
27,حسين الحداد,مسرحيه ام مرزوق وعيالها بيت ابو ضاري عيال المباركيه 2021,,,,,
28,حسين الحداد,مسلسل صالح العجيري فندق حمايل كهرمان والملك سلطان ملاك رحمه 2021,,,,,
29,حسين الحداد,قصير علي امي دلال والعيال مشاري بيت بيوت سالم سبع ابواب المصبغه 2019,,,,,
30,حسين الحداد,مسرحيه سهيل والزهره المفقوده سهيل (شابا) كلام اصفر ايوب,,,,,
31,حسين الحداد,شابا محطه انتظار يوسف اقبال يوم اقبلت 2017,,,,,
32,حسين الحداد,مسلسل ضابط خفر السواحل الحالمون 2017,,,,,
33,حسين الحداد,فيلم ريا وسكينه سر الجزيره مواطن احسبها غير بلا غطاء شجره العجايب فصيله علا طريق الموت مجرد نفايات الموامره انيسه الونيسه 2014,,,,,
34,حسين الحداد,مسلسل شارع اوتوقراطيا العازف كان رفيجي 2014,,,,,
35,حسين الحداد,فيلم احمد نبوه الخلاص مغاره الحظ 2013,,,,,
36,حسين الحداد,رييس مجلس القياده الرياسي يعزي بوفاه المناضل حسين الحداد الثلاثاء,,,,,
37,حسين الحداد,16 ديسمبر 2025 18:11 عدن : بعث فخامه الرييس الدكتور رشاد محمد العليمي,,,,,
38,حسين الحداد,برقيه تعزيه الا عايله المناضل الوطني الجسور,,,,,
39,حسين الحداد,الذي وافاه الاجل بعد حياه حافله بالعطاء,,,,,
40,حسين الحداد,والعمل المخلص من اجل رفعه وطنه وشعبه,,,,,
41,حسين الحداد,رييس مجلس القياده: استقرار المنطقه مرهون بردع النظام الايراني ومليشياته المسلحه استقبل فخامه الرييس الدكتور رشاد محمد العليمي,,,,,
42,معصومة صالح محمد المبارك,كما اقيمت امسيه شعريه القيت خلالها قصايد في امير الانسانيه,,,,,
43,معصومة صالح محمد المبارك,وقدم غانم عوده محاضره في نشر مطبوعات المكفوفين,,,,,
44,معصومة صالح محمد المبارك,الموسوعه الحره وزيره للتخطيط ووزيره دوله لشيون التنميه الاداريه في المنصب يوليو 2005,,,,,
