id,target_name_ar,sentence,subject,relation,object,evidence,split,pep_sentence
1,نبيل نوري فضل عبدالله الفضل,نبيل نوري فضل عبدالله الفضل الرييسيه ال,,,,,,False
2,محمود ابوالعز,معنا محمود عبد الباسط الغرابلي الشهير ب (محمود ابوالعز),,,,,,False
3,جابر سعد خنيفر عايد المحيلبي العازمي,تعديل جابر سعد خنيفر عايد المحيلبي العازمي ( 28 يونيو 1970,,,,,,False
4,مبارك حمود سعدون الطشه,الموسوعه الحره نايب في مجلس الامه الكويتي الامير نواف الاحمد الجابر الصباح الدايره الانتخابيه معلومات شخصيه اسم الولاده مبارك حمود سعدون الطشه تاريخ الميلاد 1980 (العمر 45-46) الجنسيه الكويت الديانه الاسلام الحياه العمليه المدرسه الام جامعه الكويت,,,,,,True
5,مبارك حمود سعدون الطشه,تعديل مبارك حمود سعدون الطشه الرشيدي ( 1980 -),,,,,,False
6,حسين الحداد,تمثيل الرييسيه حسين الحداد فيلموجرافيا English فيلموجرافيا: حسين الحداد,,,,,,False
7,حسين الحداد,رييس مجلس القياده الرياسي يعزي بوفاه المناضل حسين الحداد الثلاثاء,,,,,,False
8,معصومة صالح محمد المبارك,28 يوليو 2006 معلومات شخصيه اسم الولاده معصومه صالح محمد المبارك الميلاد 1947 (العمر 78-79) الاقامه الجنسيه الديانه الاسلام الحياه العمليه التعلم دكتوراه فلسفه في العلاقات الدوليه المدرسه الام جامعه دنفر جامعه شمال تكساس المهنه سياسيه اللغات العربيه موظفه في تعديل مصدري,,,,,,True
9,معصومة صالح محمد المبارك,تعديل معصومه صالح المبارك ( 1947 -),,,,,,False
10,معصومة صالح محمد المبارك,معصومه صالح محمد المبارك الرييسيه ال,,,,,,False
11,منصور الشيخ موسى المزيدي,الموسوعه الحره منصور المزيدي منصور المزيدي الاول من اليمين مناصب معلومات شخصيه اسم الولاده منصور الشيخ موسا المزيدي الميلاد 1905 الوفاه 24 يناير 1976 (71 سنه) الجنسيه الديانه مسلم الحياه العمليه المهنه سياسي رجل اعمال الحزب مستقل تعديل مصدري تعديل منصور الشيخ موسا المزيدي ( 1905 1976 ) عضو المجلس البلدي 1960 وعضو المجلس التاسيسي الكويتي ونايب مجلس الامه الكويتي لدورتين عام و1967 بالدايره الاولا شرق,,,,,,True
12,منصور العوض,محليات Suleiman الثلاثاء 28 نوفمبر 2023 اللواء منصور العوضي يكرم عددا من الضباط والافراد ذكرت اداره العلاقات والاعلام الامني في وزاره الداخليه ان وكيل وزاره الداخليه المساعد لشوون امن المنافذ والحدود اللواء منصور العوضي...,,,,,,False
13,منصور العوض,20:00 العوضي مكرما احدا العسكريات قلد وكيل وزاره الداخليه المساعد لشوون امن المنافذ اللواء منصور العوضي,,,,,,True
14,مبارك محمد كنيفذ مرزوق الوعلان المطيري,الموسوعه الحره معلومات شخصيه اسم الولاده مبارك محمد كنيفذ مرزوق الوعلان تاريخ الميلاد (العمر 66-67) الجنسيه الكويت مناصب الحياه العمليه المدرسه الام شهاده جامعيه علوم سياسيه من المهنه سياسي الحزب كتله العمل الشعبي تعديل مصدري,,,,,,True
15,مبارك محمد كنيفذ مرزوق الوعلان المطيري,تعديل مبارك محمد كنيفذ مرزوق الوعلان المطيري ( -),,,,,,False
16,بادي حسيان محمد الوطيب الدوسري,ضد: 1 فلاح مطلق هذال العازمي 2 سعدون حماد عبيد العتيبي 3 سالم نملان مدعم مرزوق العازمي 4 سعد زنيفر سعد العازمي 5 غانم علي فلاح حزام الميع 6 خالد مشعان منيخر طاحوس 7 الصيفي مبارك الصيفي العجمي 8 دليهي سعد راشد ناصر الهاجري 9 محمد هادي هايف الحويله 10 بادي حسيان محمد الدوسري 11 وزير الداخليه بصفته 12 وزير العدل بصفته 13 الامين العام لمجلس الامه بصفته,,,,,,False
17,سعود محمد راشد بطي الشويعر,الموسوعه الحره سعود الشويعر معلومات شخصيه اسم الولاده سعود محمد راشد بطي الشويعر السليماني الميلاد (العمر 71-72) الجنسيه الديانه اهل السنه والجماعه الحياه العمليه التعلم دبلوم المدرسه الام المعهد الديني المهنه سياسي الحزب مستقل تعديل مصدري,,,,,,True
18,سعود محمد راشد بطي الشويعر,اسمه بالكامل سعود محمد راشد بطي الشويعر نسبه وهو من عايله السليماني التي ترجع الي قبيله بني غانم,,,,,,False
19,سعود محمد راشد بطي الشويعر,سعود محمد راشد بطي الشويعر ( 2897 صوتا) 10- مرزوق خليفه مفرج الخليفه ( 2874 صوتا) (النهايه) ع م / ع ب د موجز الاخبار الكويت,,,,,,False
20,سعود محمد راشد بطي الشويعر,ودخل المجلس ثمانيه نواب جدد هم ثامر سعد غيث غانم جليدان السويط الظفيري ومبارك هيف سعد الحجرف ومحمد هايف سلطان عريج المطيري وعبدالله فهاد هندي فهد العنزي وشعيب شباب قديفان المويزري وعلي سالم الجعيلان الدقباسي وسعود محمد راشد بطي الشويعر ومرزوق خليفه مفرج الخليفه تعليقات القراء ملاحظه هامه: جميع الاراء والتعليقات تعبر عن وجهه نظر اصحابها فقط,,,,,,True
21,سعود محمد راشد بطي الشويعر,"وزير انس الصالح (سبتمبر 2020) تصويت فتح باب ما يستجد من اعمال (تعديل النظام الانتخابي) غير موافق مراجع ""سعود محمد الشويعر""",,,,,,False
22,عبدالله حشر عايد البرغش,النايب عبدالله حشر عايد البرغش النايب عبدالله حشر عايد البرغش المصور : ارشيف,,,,,,True
23,جمال هاضل سالم الجلاوي,الموسوعه الحره جمال هاضل الجلاوي وزير العدل وزير الدوله لشوون تعزيز النزاهه في المنصب 28 ديسمبر 2021,,,,,,True
24,جمال هاضل سالم الجلاوي,الامير نواف الاحمد الجابر الصباح رييس الوزراء احمد نواف الاحمد الصباح عيسا احمد الكندري عبدالعزيز ماجد الماجد معلومات شخصيه اسم الولاده جمال هاضل سالم الجلاوي تاريخ الميلاد 1968 (العمر 57-58) مواطنه الكويت الحياه العمليه المهنه سياسي اللغات العربيه تعديل مصدري,,,,,,True
25,جمال هاضل سالم الجلاوي,تعديل جمال هاضل الجلاوي (مواليد 1968 ),,,,,,False
26,جمال هاضل سالم الجلاوي,مراجع عدل امر اميري بتشكيل الحكومه الجديده برياسه سمو الشيخ صباح الخالد الحمد الصباح تتضمن 15 وزيرا نسخه محفوظه 2021-12-28 علا موقع واي باك مشين المستشار جمال هاضل الجلاوي,,,,,,True
27,جمال هاضل سالم الجلاوي,A+ Aحكومه السيره الذاتيه لوزير العدل وزير الدوله لشوون النزاهه المستشار جمال الجلاوي 29/12/2021 LOC00:12 21:12 GMT وزير العدل وزير الدوله لشوون النزاهه المستشار جمال هاضل سالم الجلاوي الكويت,,,,,,True
28,جمال هاضل سالم الجلاوي,واليكم السيره الذاتيه لوزير العدل وزير الدوله لشوون النزاهه المستشار جمال هاضل سالم الجلاوي: حاصل علا شهاده الماجستير في القانون وعمل في اداره الفتوا والتشريع ضمن قطاع الاستيناف والتمييز الاداري والمحكمه الدستوريه وحاضر في الهييه العامه للتعليم التطبيقي والتدريب,,,,,,True
29,جمال هاضل سالم الجلاوي,وزير الاوقاف والشوون الاسلاميه المستشار جمال هاضل سالم الجلاوي المستشار جمال هاضل سالم الجلاوي نبذه حاصل علا درجه الماجستير في القانون,,,,,,True
30,جمال هاضل سالم الجلاوي,الرييسيه / الاشخاص / جمال هاضل سالم الجلاوي جمال هاضل سالم الجلاوي الطايفه سني العايله الجلاوي القبيله العوازم المشاركات في الحكومه الحكومه الوزاره الحكومه 40 وزاره الاوقاف والشوون الاسلاميه وزير الاوقاف والشوون الاسلاميه وزاره العدل وزير العدل ووزير دوله لشوون تعزيز النزاهه الحكومه 39 وزاره العدل وزير العدل ووزير دوله لشوون تعزيز النزاهه,,,,,,True
31,عبدالعزيز  ماجد,الموسوعه الحره عبدالعزيز ماجد الماجد وزير العدل ووزير الاوقاف والشوون الاسلاميه في المنصب,,,,,,True
32,عبدالعزيز  ماجد,وزير العدل ووزير الاوقاف والشوون الاسلاميه ووزير دوله لتعزيز النزاهه خلال الفتره حتا 1 عن حياته ولد عبدالعزيز ماجد عبدالعزيز الماجد في الكويت ونشا فيها,,,,,,False
33,عبدالعزيز  ماجد,احمد عبدالمجيد خاطر يعقوب عبدالله الماجد عبدالعزيز هوشان علي عبدالله الماجد محمد حمد شنوف الماجد يوسف سلطان ماجد البخيت الماجد عواطف عبدالمجيد خاطر يعقوب عبدالله الماجد علي عبدالجليل ياسين الماجد حمود خليفه احمد عبدالرحمن احمد الماجد عبدالعزيز ماجد عبدالعزيز الماجد وزير Comments & Questions Michael Herb,,,,,,True
34,حمود عبدالله الرقبة,وفيما يلي نبذه عن السيره الذاتيه للوزير الاسبق حمود عبدالله الرقبه,,,,,,True
35,حمود عبدالله الرقبة,حمود عبدالله الرقبه نبذه عن السيره الذاتيه للوزير الاسبق د,,,,,,True
36,حمود عبدالله الرقبة,حمود عبدالله الرقبه من مواليد 1951 في منطقه المرقاب حاصل علي شهاده بكالوريوس في الهندسه الكيمياييه عام 1974 من الولايات المتحده الامريكيه في عام 1977 حصل علي ماجستير في الهندسه الكيمياييه من انجلترا في عام 1981 حصل علا دكتوراه في الهندسه الكيمياييه من انجلترا في عام 1993 حصل علا دكتوراه فخريه في العلوم من انجلترا اما المناصب الرسميه التي شغلها الفقيد فهي كالتالي 1974-1975 مهندس بوزاره الكهرباء والماء 1981 استاذ بكليه الهندسه والبترول,,,,,,True
37,حمود عبدالله الرقبة,حمود عبدالله الرقبه من مواليد 1951 في منطقه المرقاب حاصل علي شهاده بكالوريوس في الهندسه الكيمياييه عام 1974 من الولايات المتحده الامريكيه في عام 1977 حصل علي ماجستير في الهندسه الكيمياييه من انجلترا في عام 1981 حصل علا دكتوراه في الهندسه الكيمياييه من انجلترا في عام 1993 حصل علا دكتوراه فخريه في العلوم من انجلترا اما المناصب الرسميه التي,,,,,,False
38,علي سالم ابو حديدة,الموسوعه الحره علي ابو حديده معلومات شخصيه اسم الولاده علي سالم مطلق ابو حديده الميلاد 1957 (العمر 69 سنه) الجنسيه الديانه مسلم الحياه العمليه المدرسه الام دبلوم اداره,,,,,,False
39,علي سالم ابو حديدة,تعديل علي سالم ابو حديده مواليد 1957,,,,,,False
40,علي سالم ابو حديدة,"ابرق خيطان 2006 فيصل المسلم 3841 دعم من الحركه السلفيه العلميه 3128 2003 فيصل المسلم 1596 التجمع الاسلامي السلفي 1571 1999 938 881 1996 عبدالسلام مناحي مناحي صنهات العصيمي 817 بدر ناصر عبيد الجيعان 808 1992 علي سالم ابو حديده 610 الرشايده 562 1990 710 علي عبدالله مسلم العتيبي 468 1985 810 ناصر فهد محمد البناي 774 1981 ناصر صنهات ساير العصيمي 315 عضو منتخب, مات و هو نايب عبدالرزاق عبدالحميد الصانع 306 Comments & Questions Michael Herb",,,,,,False
