id,target_name_ar,sentence,subject,relation,object,evidence,split
1,نبيل نوري فضل عبدالله الفضل,نبيل نوري فضل عبدالله الفضل الرييسيه ال,,,,,
2,محمود ابوالعز,معنا محمود عبد الباسط الغرابلي الشهير ب (محمود ابوالعز),,,,,
3,جابر سعد خنيفر عايد المحيلبي العازمي,تعديل جابر سعد خنيفر عايد المحيلبي العازمي ( 28 يونيو 1970,,,,,
4,مبارك حمود سعدون الطشه,الموسوعه الحره نايب في مجلس الامه الكويتي الامير نواف الاحمد الجابر الصباح الدايره الانتخابيه معلومات شخصيه اسم الولاده مبارك حمود سعدون الطشه تاريخ الميلاد 1980 (العمر 45-46) الجنسيه الكويت الديانه الاسلام الحياه العمليه المدرسه الام جامعه الكويت,,,,,
5,مبارك حمود سعدون الطشه,تعديل مبارك حمود سعدون الطشه الرشيدي ( 1980 -),,,,,
6,حسين الحداد,تمثيل الرييسيه حسين الحداد فيلموجرافيا English فيلموجرافيا: حسين الحداد,,,,,
7,حسين الحداد,رييس مجلس القياده الرياسي يعزي بوفاه المناضل حسين الحداد الثلاثاء,,,,,
8,معصومة صالح محمد المبارك,28 يوليو 2006 معلومات شخصيه اسم الولاده معصومه صالح محمد المبارك الميلاد 1947 (العمر 78-79) الاقامه الجنسيه الديانه الاسلام الحياه العمليه التعلم دكتوراه فلسفه في العلاقات الدوليه المدرسه الام جامعه دنفر جامعه شمال تكساس المهنه سياسيه اللغات العربيه موظفه في تعديل مصدري,,,,,
9,معصومة صالح محمد المبارك,تعديل معصومه صالح المبارك ( 1947 -),,,,,
10,معصومة صالح محمد المبارك,معصومه صالح محمد المبارك الرييسيه ال,,,,,
11,منصور الشيخ موسى المزيدي,الموسوعه الحره منصور المزيدي منصور المزيدي الاول من اليمين مناصب معلومات شخصيه اسم الولاده منصور الشيخ موسا المزيدي الميلاد 1905 الوفاه 24 يناير 1976 (71 سنه) الجنسيه الديانه مسلم الحياه العمليه المهنه سياسي رجل اعمال الحزب مستقل تعديل مصدري تعديل منصور الشيخ موسا المزيدي ( 1905 1976 ) عضو المجلس البلدي 1960 وعضو المجلس التاسيسي الكويتي ونايب مجلس الامه الكويتي لدورتين عام و1967 بالدايره الاولا شرق,,,,,
12,منصور العوض,محليات Suleiman الثلاثاء 28 نوفمبر 2023 اللواء منصور العوضي يكرم عددا من الضباط والافراد ذكرت اداره العلاقات والاعلام الامني في وزاره الداخليه ان وكيل وزاره الداخليه المساعد لشوون امن المنافذ والحدود اللواء منصور العوضي...,,,,,
13,منصور العوض,20:00 العوضي مكرما احدا العسكريات قلد وكيل وزاره الداخليه المساعد لشوون امن المنافذ اللواء منصور العوضي,,,,,
14,مبارك محمد كنيفذ مرزوق الوعلان المطيري,الموسوعه الحره معلومات شخصيه اسم الولاده مبارك محمد كنيفذ مرزوق الوعلان تاريخ الميلاد (العمر 66-67) الجنسيه الكويت مناصب الحياه العمليه المدرسه الام شهاده جامعيه علوم سياسيه من المهنه سياسي الحزب كتله العمل الشعبي تعديل مصدري,,,,,
15,مبارك محمد كنيفذ مرزوق الوعلان المطيري,تعديل مبارك محمد كنيفذ مرزوق الوعلان المطيري ( -),,,,,
16,بادي حسيان محمد الوطيب الدوسري,ضد: 1 فلاح مطلق هذال العازمي 2 سعدون حماد عبيد العتيبي 3 سالم نملان مدعم مرزوق العازمي 4 سعد زنيفر سعد العازمي 5 غانم علي فلاح حزام الميع 6 خالد مشعان منيخر طاحوس 7 الصيفي مبارك الصيفي العجمي 8 دليهي سعد راشد ناصر الهاجري 9 محمد هادي هايف الحويله 10 بادي حسيان محمد الدوسري 11 وزير الداخليه بصفته 12 وزير العدل بصفته 13 الامين العام لمجلس الامه بصفته,,,,,
17,سعود محمد راشد بطي الشويعر,الموسوعه الحره سعود الشويعر معلومات شخصيه اسم الولاده سعود محمد راشد بطي الشويعر السليماني الميلاد (العمر 71-72) الجنسيه الديانه اهل السنه والجماعه الحياه العمليه التعلم دبلوم المدرسه الام المعهد الديني المهنه سياسي الحزب مستقل تعديل مصدري,,,,,
18,سعود محمد راشد بطي الشويعر,اسمه بالكامل سعود محمد راشد بطي الشويعر نسبه وهو من عايله السليماني التي ترجع الي قبيله بني غانم,,,,,
19,سعود محمد راشد بطي الشويعر,سعود محمد راشد بطي الشويعر ( 2897 صوتا) 10- مرزوق خليفه مفرج الخليفه ( 2874 صوتا) (النهايه) ع م / ع ب د موجز الاخبار الكويت,,,,,
