id,target_name_ar,sentence,subject,relation,object,evidence,split
1,مبارك حمود سعدون الطشه,الموسوعه الحره نايب في مجلس الامه الكويتي الامير نواف الاحمد الجابر الصباح الدايره الانتخابيه معلومات شخصيه اسم الولاده مبارك حمود سعدون الطشه تاريخ الميلاد 1980 (العمر 45-46) الجنسيه الكويت الديانه الاسلام الحياه العمليه المدرسه الام جامعه الكويت,,,,,
2,معصومة صالح محمد المبارك,28 يوليو 2006 معلومات شخصيه اسم الولاده معصومه صالح محمد المبارك الميلاد 1947 (العمر 78-79) الاقامه الجنسيه الديانه الاسلام الحياه العمليه التعلم دكتوراه فلسفه في العلاقات الدوليه المدرسه الام جامعه دنفر جامعه شمال تكساس المهنه سياسيه اللغات العربيه موظفه في تعديل مصدري,,,,,
3,منصور الشيخ موسى المزيدي,الموسوعه الحره منصور المزيدي منصور المزيدي الاول من اليمين مناصب معلومات شخصيه اسم الولاده منصور الشيخ موسا المزيدي الميلاد 1905 الوفاه 24 يناير 1976 (71 سنه) الجنسيه الديانه مسلم الحياه العمليه المهنه سياسي رجل اعمال الحزب مستقل تعديل مصدري تعديل منصور الشيخ موسا المزيدي ( 1905 1976 ) عضو المجلس البلدي 1960 وعضو المجلس التاسيسي الكويتي ونايب مجلس الامه الكويتي لدورتين عام و1967 بالدايره الاولا شرق,,,,,
4,منصور العوض,20:00 العوضي مكرما احدا العسكريات قلد وكيل وزاره الداخليه المساعد لشوون امن المنافذ اللواء منصور العوضي,,,,,
5,مبارك محمد كنيفذ مرزوق الوعلان المطيري,الموسوعه الحره معلومات شخصيه اسم الولاده مبارك محمد كنيفذ مرزوق الوعلان تاريخ الميلاد (العمر 66-67) الجنسيه الكويت مناصب الحياه العمليه المدرسه الام شهاده جامعيه علوم سياسيه من المهنه سياسي الحزب كتله العمل الشعبي تعديل مصدري,,,,,
6,سعود محمد راشد بطي الشويعر,الموسوعه الحره سعود الشويعر معلومات شخصيه اسم الولاده سعود محمد راشد بطي الشويعر السليماني الميلاد (العمر 71-72) الجنسيه الديانه اهل السنه والجماعه الحياه العمليه التعلم دبلوم المدرسه الام المعهد الديني المهنه سياسي الحزب مستقل تعديل مصدري,,,,,
7,سعود محمد راشد بطي الشويعر,ودخل المجلس ثمانيه نواب جدد هم ثامر سعد غيث غانم جليدان السويط الظفيري ومبارك هيف سعد الحجرف ومحمد هايف سلطان عريج المطيري وعبدالله فهاد هندي فهد العنزي وشعيب شباب قديفان المويزري وعلي سالم الجعيلان الدقباسي وسعود محمد راشد بطي الشويعر ومرزوق خليفه مفرج الخليفه تعليقات القراء ملاحظه هامه: جميع الاراء والتعليقات تعبر عن وجهه نظر اصحابها فقط,,,,,
8,عبدالله حشر عايد البرغش,النايب عبدالله حشر عايد البرغش النايب عبدالله حشر عايد البرغش المصور : ارشيف,,,,,
9,جمال هاضل سالم الجلاوي,الموسوعه الحره جمال هاضل الجلاوي وزير العدل وزير الدوله لشوون تعزيز النزاهه في المنصب 28 ديسمبر 2021,,,,,
10,جمال هاضل سالم الجلاوي,الامير نواف الاحمد الجابر الصباح رييس الوزراء احمد نواف الاحمد الصباح عيسا احمد الكندري عبدالعزيز ماجد الماجد معلومات شخصيه اسم الولاده جمال هاضل سالم الجلاوي تاريخ الميلاد 1968 (العمر 57-58) مواطنه الكويت الحياه العمليه المهنه سياسي اللغات العربيه تعديل مصدري,,,,,
